Number;StructureName;StructureType;Condition of Bridge;TotalWidth;TotalLength;ConstructionYear;NumberOfSpan;Zone;Circle;Division;Sub-Division;RoadNo;StructureLRPName;ReferenceLRPNo;LocationLRPOffset;LocationChainage;LatitudeDegree;LatitudeMinute;LatitudeSecond;LongitudeDegree;LongitudeMinute;LongitudeSecond;BCS1TotalScore
555;Khorkhori bridge;RCC Girder Bridge;B;5,35;49,06;1985;3;Rangpur;Dinajpur;Nilphamari;Nilphamari;N518;LRP004a;LRP004;431;3,959;25;46;24,8;88;52;39,9;1
556;Kashinathpur Bridge;PC Girder Bridge;C;10,06;70,1;1990;3;Rajshahi;Pabna;Pabna;Pabna-1;N6;LRPSa;LRPS;158;0,158;23;57;31;89;36;20;31
557;Singe Bipass Bridge;RCC Girder Bridge;A;12,2;65,76;2006;3;Rajshahi;Pabna;Pabna;Pabna-2;N6;LRP043a;LRP043;912;43,802;24;1;26;89;14;53;0
558;Dhanaidah Bridge;RCC Girder Bridge;B;10,62;83,82;1992;7;Rajshahi;Pabna;Natore;Natore-2;N6;LRP075a;LRP075;561;75,703;24;13;52;89;7;10;1
559;Ahmedpur Bridge;PC Girder Bridge;A;11,87;106,91;2008;3;Rajshahi;Pabna;Natore;Natore-2;N6;LRP090a;LRP090;615;90,736;24;20;58;89;4;4;0
560;Dattapara Bridge;RCC Girder Bridge;C;7,03;30,74;1968;3;Rajshahi;Pabna;Natore;Natore-2;N6;LRP097a;LRP097;476;97,587;24;23;57;89;1;52;60
561;Horishpur Amaigachi Bridge;RCC Girder Bridge;A;10,6;35,86;1992;3;Rajshahi;Pabna;Natore;Natore-2;N6;LRP100b;LRP100;902;101,011;24;24;25;89;0;14;0
562;Tebaria Bridge;RCC Girder Bridge;B;10,63;36,05;1992;3;Rajshahi;Pabna;Natore;Natore-2;N6;LRP104a;LRP104;622;104,726;24;24;7;88;58;8;1
563;Jhalmalia Bridge;RCC Girder Bridge;B;9,2;37,9;1988;2;Rajshahi;Rajshahi;Rajshahi;Rajshahi-2;N6;LRP116a;LRP116;51;117,084;24;22;0;88;51;41;32
564;Mipara Bridge;PC Girder Bridge;A;10,6;60,2;1992;5;Rajshahi;Rajshahi;Rajshahi;Rajshahi-2;N6;LRP122a;LRP122;399;123,405;24;22;46;88;48;4;0
565;Jotvagirotpur Bridge;PC Girder Bridge;B;10,6;60,1;1987;5;Rajshahi;Rajshahi;Rajshahi;Rajshahi-2;N6;LRP131b;LRP131;695;132,669;24;21;54;88;43;15;1
566;Belpukur Bridge;RCC Girder Bridge;B;10;37,3;2003;2;Rajshahi;Rajshahi;Rajshahi;Rajshahi-2;N603;LRPSc;LRPS;606;0,606;24;22;14;88;43;22;1
567;Belpukur Bridge;RCC Girder Bridge;B;10;37,3;2003;2;Rajshahi;Rajshahi;Rajshahi;Rajshahi-2;N603;LRPSc;LRPS;606;0,606;24;22;14;88;43;22;1
568;Ichamoti Bridge;Steel Beam & RCC Slab;B;7,33;43,82;1958;3;Rajshahi;Pabna;Pabna;Pabna-2;N604;LRP004b;LRP001;3180;4,495;24;0;30;89;14;14;31
569;Goalanda Bridge;RCC Girder Bridge;B;11,6;13,1;1993;1;Gopalganj;Faridpur;Rajbari;Rajbari;N7;LRP005a;LRP005;315;5,656;23;43;54;89;45;37;30
570;Khankhanapur Bridge;RCC Girder Bridge;C;7,1;36,5;1980;3;Gopalganj;Faridpur;Rajbari;Rajbari;N7;LRP011b;LRP010;1689;12,064;23;41;36;89;42;55;90
571;Ahladipur Bridge.;RCC Girder Bridge;A;11;13,8;1980;1;Gopalganj;Faridpur;Rajbari;Rajbari;N7;LRP012b;LRP012;740;13,12;23;41;28;89;42;21;0
572;Barokhada Bridge;PC Girder Bridge;A;11,7;58,88;1997;2;Gopalganj;Faridpur;Faridpur;Faridpur-2;N7;LRP019a;LRP018;1177;19,565;23;38;58;89;44;8;0
573;Jhuldibazar Bridge;RCC Girder Bridge;C;7,15;27,5;1990;3;Gopalganj;Faridpur;Faridpur;Faridpur-2;N7;LRP025a;LRP025;588;25,993;23;36;29;89;46;40;150
574;Baidya Bridge;PC Girder Bridge;A;11,7;58,6;1985;2;Gopalganj;Faridpur;Faridpur;Faridpur-2;N7;LRP026a;LRP026;572;26,987;23;36;2;89;46;59;0
575;Kanaipur Bridge;RCC Girder Bridge;C;7,2;27,5;1982;1;Gopalganj;Faridpur;Faridpur;Faridpur-2;N7;LRP036c;LRP036;971;37,369;23;32;21;89;46;5;500
576;Karimpur Bridge;RCC Girder Bridge;C;7,02;51,8;1978;3;Gopalganj;Faridpur;Faridpur;Faridpur-2;N7;LRP039a;LRP038;1008;39,644;23;32;14;89;44;49;120
577;Hatkhata;RCC Girder Bridge;C;7,2;24,75;1983;1;Gopalganj;Faridpur;Faridpur;Faridpur-2;N7;LRP045a;LRP045;396;45,822;23;31;57;89;41;29;61
578;Bimankanda bridge;RCC Girder Bridge;C;7,3;50,14;1985;3;Gopalganj;Faridpur;Faridpur;Faridpur-2;N7;LRP047a;LRP047;401;47,833;23;32;3;89;40;20;530
579;Brahmonkanda Bridge;RCC Girder Bridge;C;7,1;25;1982;1;Gopalganj;Faridpur;Faridpur;Faridpur-2;N7;LRP048a;LRP048;49;48,487;23;32;7;89;39;58;60
580;Porkitpur Bridge;RCC Girder Bridge;C;7,1;24,7;1980;1;Gopalganj;Faridpur;Faridpur;Faridpur-2;N7;LRP049a;LRP048;1191;49,629;23;32;14;89;39;18;120
581;Barashia Bridge;RCC Girder Bridge;C;7,87;83,9;1982;3;Gopalganj;Faridpur;Faridpur;Faridpur-2;N7;LRP054a;LRP054;702;55,168;23;31;46;89;36;32;90
582;Garai Bridge;Truss with RCC Slab;B;8,7;612,5;1991;7;Khulna;Jessore;Magura;Magura;N7;LRP064b;LRP064;729;65,221;23;32;40;89;31;6;1
583;Kochundi Bridge;RCC Girder Bridge;B;7,9;14,4;1981;1;Khulna;Jessore;Magura;Magura;N7;LRP067a;LRP067;651;68,125;23;31;42;89;29;50;32
584;Ulinagar Bridge;RCC Girder Bridge;A;7,9;13;1980;1;Khulna;Jessore;Magura;Magura;N7;LRP068a;LRP068;886;69,364;23;31;27;89;29;10;0
585;Naba Ganga Bridge;RCC Girder Bridge;C;7,2;20,3;1993;2;Khulna;Jessore;Magura;Magura;N7;LRP076d;LRP076;214;76,672;23;29;21;89;25;45;31
586;Alam Khali Bridge;PC Girder Bridge;A;11,6;22,75;1994;1;Khulna;Jessore;Magura;Magura;N7;LRP088b;LRP088;922;89,468;23;30;59;89;19;9;0
587;Bishakhali Bridge;RCC Girder Bridge;A;8,7;32,3;1982;3;Khulna;Jessore;Jhenaidah;Jhenaidah;N7;LRP115a;LRP115;159;115,491;23;28;33;89;8;35;0
588;Neemtola Bridge;RCC Girder Bridge;A;9,6;43;1985;3;Khulna;Jessore;Jhenaidah;Jhenaidah;N7;LRP122b;LRP122;294;122,707;23;24;45;89;8;3;0
589;Buri Bhairab Bridge;RCC Girder Bridge;C;8,65;31,01;1976;3;Khulna;Jessore;Jessore;Jessore-1;N7;LRP141b;LRP141;780;142,096;23;14;31;89;10;NULL;30
590;Jugikhali bridge;PC Girder Bridge;C;9,3;81,38;1982;3;Khulna;Khulna;Bagerhat;Bagerhat-2;N7;LRP225a;LRP225;253;225,201;22;44;41;89;38;1;30
591;;RCC Girder Bridge;B;9,55;26,55;1982;1;Khulna;Khulna;Bagerhat;Bagerhat-2;N7;LRP238a;LRP238;389;238,347;22;37;55;89;38;31;1
592;Bogra Bridge;RCC Girder Bridge;C;9,5;52,82;1982;3;Khulna;Khulna;Bagerhat;Bagerhat-2;N7;LRP243a;LRP243;687;243,653;22;35;19;89;37;53;31
593;Tatulia bridge;PC Girder Bridge;A;9,45;31,22;1982;1;Khulna;Khulna;Bagerhat;Bagerhat-2;N7;LRP244a;LRP244;332;244,297;22;35;4;89;37;37;0
594;Balai bridge.;RCC Girder Bridge;C;9,35;56,43;1996;3;Khulna;Khulna;Bagerhat;Bagerhat-2;N7;LRP246a;LRP246;145;246,112;22;34;24;89;36;51;61
595;Katakhal Bridge;PC Girder Bridge;A;11;37,3;1994;1;Khulna;Jessore;Magura;Magura;N702;LRP043c;LRP042;1918;43,603;23;10;2;89;12;35;0
596;Daratana Bridge;RCC Girder Bridge;C;11,7;19,3;1988;1;Khulna;Jessore;Magura;Magura;N702;LRP043c;LRP042;1918;43,603;23;10;2;89;12;35;30
597;Dhopa Ghata Bridge;RCC Girder Bridge;C;6,15;132,4;1978;8;Khulna;Jessore;Jhenaidah;Jhenaidah;N703;LRPSd;LRPS;508;0,508;23;32;39;89;11;9;61
598;Chandi Pur Bridge;RCC Girder Bridge;C;8,2;24,5;1992;3;Khulna;Jessore;Jhenaidah;Jhenaidah;N704;LRP012c;LRP012;802;12,603;23;39;20;89;11;55;530
599;Barda Bridge;RCC Girder Bridge;C;7,2;98,5;1978;5;Khulna;Jessore;Jhenaidah;Jhenaidah;N704;LRP014a;LRP014;300;14,09;23;40;NULL;89;11;27;92
600;Bittipara Bridge;RCC Girder Bridge;C;8,1;33,95;1978;3;Khulna;Jessore;Kushtia;Kushtia;N704;LRP027b;LRP027;719;27,456;23;45;47;89;7;10;91
601;Balipara Bridge;RCC Girder Bridge;C;8,9;26,9;1978;3;Khulna;Jessore;Kushtia;Kushtia;N704;LRP033b;LRP033;662;33,373;23;48;54;89;6;24;90
602;;RCC Girder Bridge;C;7,65;31,5;1987;3;Khulna;Jessore;Kushtia;Kushtia;N704;LRP043a;LRP043;213;42,883;23;53;17;89;6;28;90
603;;PC Girder Bridge;A;11,5;66,75;2004;3;Khulna;Jessore;Kushtia;Kushtia;N704;LRP066e;LRP066;898;66,267;24;2;19;89;0;47;0
604;Belupara Bridge;RCC Girder Bridge;C;7,13;17,7;1974;1;Rajshahi;Pabna;Pabna;Pabna-2;N705;LRP004a;LRP004;2;4,131;24;6;28;89;4;44;562
605;Jhikorgacha Bridge;RCC Girder Bridge;C;6,9;118,67;1968;7;Khulna;Jessore;Jessore;Jessore-1;N706;LRP014b;LRP013;1387;14,349;23;6;NULL;89;5;57;30
606;Betna Bridge;RCC Girder Bridge;B;8,57;44,14;1968;3;Khulna;Jessore;Jessore;Jessore-1;N706;LRP025a;LRP025;526;25,511;23;3;29;89;0;11;3
607;Amrakhali Bridge-2;RCC Bridge;A;10;30;2002;3;Khulna;Jessore;Jessore;Jessore-1;N706;LRP032c;LRP030;2452;32,436;23;3;13;88;56;8;0
608;Bablatola Bridge;Baily with Steel Deck;C;4,34;24,36;2011;1;Khulna;Jessore;Jessore;Jessore-2;N708;LRP001a;LRPS;1673;1,673;23;10;34;89;12;23;30
609;Barandipara Bridge;PC Girder Bridge;C;10,38;30,9;2012;1;Khulna;Jessore;Jessore;Jessore-2;N708;LRP003b;LRPS;3574;3,574;23;10;18;89;13;13;31
610;Postagola Bridge;PC Girder Bridge;A;17,6;847,9;1989;21;Dhaka;Dhaka;Munshiganj;Keraniganj;N8;LRP002c;LRP001;1538;2,587;23;41;21,7;90;25;45,9;0
611;Rajendrapur Bridge;Truss with RCC Slab;A;9,7;60,9;1994;1;Dhaka;Dhaka;Munshiganj;Keraniganj;N8;LRP008a;LRP008;5;7,785;23;39;46,2;90;23;19,2;0
612;Abdullahpur Bridge;Steel Beam & RCC Slab;A;9,9;54,66;1982;3;Dhaka;Dhaka;Munshiganj;Keraniganj;N8;LRP011a;LRP008;3273;11,053;23;39;35,9;90;21;24,9;0
613;Dhaleshwari Bridge;PC Girder Bridge;A;9,8;260;1997;6;Dhaka;Dhaka;Munshiganj;Keraniganj;N8;LRP013a;LRP013;217;13,217;23;38;38,7;90;20;55,2;0
614;Dhaleshwari Bridge-2;PC Girder Bridge;A;9;381,9;1998;8;Dhaka;Dhaka;Munshiganj;Keraniganj;N8;LRP013c;LRP013;834;13,834;23;38;19,7;90;20;48,7;0
615;Kuchiamara Bridge;Truss with RCC Slab;A;12;37,5;1993;1;Dhaka;Dhaka;Munshiganj;Keraniganj;N8;LRP014c;LRP013;1913;14,913;23;37;46,1;90;20;37,4;0
616;Neemtola Bridge;RCC Girder Bridge;B;9;39;1989;3;Dhaka;Dhaka;Munshiganj;Keraniganj;N8;LRP016b;LRP013;3768;16,768;23;36;57,4;90;19;57,6;1
617;Chaltipara Bridge;PC Girder Bridge;A;10;19,9;2002;1;Dhaka;Dhaka;Munshiganj;Sreenagar;N8;LRP018a;LRP013;5556;18,556;23;36;13,5;90;19;19,1;0
618;Hashara Bridge;PC Girder Bridge;A;10;20;2002;1;Dhaka;Dhaka;Munshiganj;Sreenagar;N8;LRP019b;LRP013;6484;19,484;23;35;50;90;18;58,5;0
619;Hashara-2 Bridge;Steel Beam & RCC Slab;A;9,8;46,5;2002;2;Dhaka;Dhaka;Munshiganj;Sreenagar;N8;LRP020b;LRP013;7514;20,514;23;35;21,6;90;18;38,9;0
620;Kewatkhali Bridge;PC Girder Bridge;A;10;19,9;2002;1;Dhaka;Dhaka;Munshiganj;Sreenagar;N8;LRP021a;LRP013;8631;21,631;23;34;49,4;90;18;21,1;0
621;Kewatkhali Bridge-2;PC Girder Bridge;A;10;19,9;2002;1;Dhaka;Dhaka;Munshiganj;Sreenagar;N8;LRP022a;LRP013;9516;22,516;23;34;21,9;90;18;12,2;0
622;Umpara Bridge;Truss with RCC Slab;A;12;46,5;1993;1;Dhaka;Dhaka;Munshiganj;Sreenagar;N8;LRP022c;LRP013;9984;22,984;23;34;8,7;90;18;4,7;0
623;Shologhar-2 bridge;RCC Girder Bridge;A;10;15,6;2002;1;Dhaka;Dhaka;Munshiganj;Sreenagar;N8;LRP025a;LRP013;12259;25,259;23;32;57,2;90;17;59,7;0
624;Shol Ghor Bridge-3;RCC Girder Bridge;A;10;16;2002;1;Dhaka;Dhaka;Munshiganj;Sreenagar;N8;LRP025c;LRP013;12438;25,438;23;32;51,7;90;17;57,8;0
625;Sonbari Bridge-2;RCC Girder Bridge;A;9,3;42,5;1994;3;Dhaka;Dhaka;Munshiganj;Sreenagar;N8;LRP025f;LRP013;12700;25,7;23;32;44,7;90;17;52,5;0
626;Sonbari Bridge;RCC Girder Bridge;A;9,2;18,3;1989;1;Dhaka;Dhaka;Munshiganj;Sreenagar;N8;LRP026c;LRP013;13120;26,12;23;32;33,6;90;17;44,7;0
627;v;RCC Girder Bridge;A;9;79,5;1998;4;Dhaka;Dhaka;Munshiganj;Sreenagar;N8;LRP028a;LRP013;15023;28,023;23;31;39;90;17;18,3;0
628;Dogachi Bazar bridge;RCC Girder Bridge;B;9,7;48,7;1998;3;Dhaka;Dhaka;Munshiganj;Sreenagar;N8;LRP031b;LRP013;18758;31,758;23;29;53,3;90;16;17,1;1
629;Shibchar Bridge;Truss with RCC Slab;A;9,73;41,7;2004;1;Gopalganj;Gopalganj;Madaripur;Bhanga;N8;LRP046a;LRP033;13246;46,246;23;24;37;90;10;28;0
630;Pachchar Bridge;Steel Beam & RCC Slab;A;9,8;46;1993;2;Gopalganj;Gopalganj;Madaripur;Bhanga;N8;LRP049a;LRP033;15702;48,702;23;24;11;90;9;8;0
631;Bandarkhola Bridge;PC Girder Bridge;A;10;30;2004;1;Gopalganj;Gopalganj;Madaripur;Bhanga;N8;LRP051a;LRP051;99;50,669;23;24;4;90;8;2;0
632;Daulatpur Bridge;PC Girder Bridge;A;10;74,66;2004;3;Gopalganj;Gopalganj;Madaripur;Bhanga;N8;LRP053b;LRP051;2552;53,122;23;22;57;90;7;30;0
633;Hazi Shariatullah Bridge;PC Girder Bridge;A;10;456;2005;10;Gopalganj;Gopalganj;Madaripur;Bhanga;N8;LRP054a;LRP051;3380;53,95;23;22;45;90;7;6;0
634;Solildia Bridge;Steel Beam & RCC Slab;A;9,8;23;1993;1;Gopalganj;Gopalganj;Madaripur;Bhanga;N8;LRP061a;LRP061;588;61,158;23;22;12;90;3;NULL;0
635;Bamonkanda Bridge;Truss with RCC Slab;B;9,7;32,6;2004;1;Gopalganj;Gopalganj;Madaripur;Bhanga;N8;LRP064a;LRP061;3737;64,307;23;22;34;90;1;14;1
636;Bogail Bridge;Truss with RCC Slab;A;9,75;77,76;2004;1;Gopalganj;Gopalganj;Madaripur;Madaripur;N8;LRP066a;LRP066;370;65,94;23;22;51;90;0;19;0
637;Purbo Hashemdi Bridge;Truss with RCC Slab;A;9,7;28;1993;1;Gopalganj;Gopalganj;Madaripur;Madaripur;N8;LRP068c;LRP066;2339;67,909;23;23;18;89;59;17;0
638;Kumar Bridge;RCC Girder Bridge;C;8,8;109,6;1990;3;Gopalganj;Gopalganj;Madaripur;Madaripur;N8;LRP069a;LRP066;3156;68,726;23;23;12;89;59;NULL;531
639;Diknagar Bridge;RCC Girder Bridge;B;7;133;1982;5;Gopalganj;Gopalganj;Madaripur;Madaripur;N8;LRP080b;LRP080;573;79,644;23;17;43;90;0;6;30
640;Chor Pachnodi 1No. Bridge;RCC Girder Bridge;B;7,1;30,35;1972;3;Gopalganj;Gopalganj;Madaripur;Madaripur;N8;LRP086a;LRP086;741;85,747;23;14;41;90;1;15;30
641;Takerhat  Bridge;Truss with RCC Slab;B;8,7;121,4;1990;2;Gopalganj;Gopalganj;Madaripur;Madaripur;N8;LRP088a;LRP088;278;87,263;23;13;52;90;1;13;1
642;Ak Number Bridge;PC Girder Bridge;B;9,9;30;1993;1;Gopalganj;Gopalganj;Madaripur;Madaripur;N8;LRP089a;LRP089;738;88,744;23;13;7;90;1;20;1
643;Bolgram Bridge;Steel Beam & RCC Slab;B;7;9,5;1993;1;Gopalganj;Gopalganj;Madaripur;Madaripur;N8;LRP090a;LRP090;432;89,414;23;12;49;90;1;33;1
644;Rajoir Boro Bridge;RCC Girder Bridge;C;7,05;54,4;1988;3;Gopalganj;Gopalganj;Madaripur;Madaripur;N8;LRP091a;LRP091;836;90,823;23;12;19;90;2;8;90
645;Rajoir Bus stand Bridge;Steel Beam & RCC Slab;B;6,7;9,07;1990;1;Gopalganj;Gopalganj;Madaripur;Madaripur;N8;LRP093a;LRP093;97;92,012;23;12;11;90;2;48;30
646;Bourgata bridge;RCC Girder Bridge;B;8,7;55,87;1991;5;Barisal;Barisal;Barisal;Barisal-1;N8;LRP116d;LRP116;495;115,125;23;4;19;90;12;39;30
647;Souderkhal bridge;RCC Girder Bridge;C;8,73;31,1;1992;3;Barisal;Barisal;Barisal;Barisal-1;N8;LRP123a;LRP123;109;121,734;23;0;55;90;12;57;120
648;Souderkhal bridge;RCC Girder Bridge;C;8,73;31,1;1992;3;Barisal;Barisal;Barisal;Barisal-1;N8;LRP123a;LRP123;109;121,734;23;0;55;90;12;54,5;120
649;Nilkhola bridge;RCC Girder Bridge;A;8,9;31,05;1997;3;Barisal;Barisal;Barisal;Barisal-1;N8;LRP124a;LRP124;544;123,18;23;0;13;90;13;20;0
650;Lakherajkosba bridge;RCC Girder Bridge;B;8,7;26,95;1995;1;Barisal;Barisal;Barisal;Barisal-1;N8;LRP125a;LRP125;249;123,876;22;59;50;90;13;20;30
651;gounagata  bridge;RCC Girder Bridge;B;7,2;43;1995;3;Barisal;Barisal;Barisal;Barisal-1;N8;LRP127b;LRP127;733;126,358;22;58;30;90;13;21;30
652;Asokoti bridge;RCC Girder Bridge;C;7,1;27,5;1984;1;Barisal;Barisal;Barisal;Barisal-1;N8;LRP129a;LRP129;133;127,737;22;57;46;90;13;29;61
653;Kasomabad bridge;Steel Beam & RCC Slab;B;7;13;1994;1;Barisal;Barisal;Barisal;Barisal-1;N8;LRP130c;LRP130;909;129,516;22;56;52;90;13;48;30
654;Lalpur bridge;Steel Beam & RCC Slab;B;7;9,7;1993;1;Barisal;Barisal;Barisal;Barisal-1;N8;LRP131a;LRP130;1259;129,866;22;56;42;90;13;54;30
655;Bamrail bridge;RCC Girder Bridge;B;7,1;24,15;1997;1;Barisal;Barisal;Barisal;Barisal-1;N8;LRP138a;LRP138;65;136,699;22;53;20;90;15;28;30
656;Jalil bridge;PC Girder Bridge;A;9,9;289,95;2003;6;Barisal;Barisal;Barisal;Barisal-1;N8;LRP146a;LRP146;423;145,048;22;49;30;90;15;44;0
657;Capt. Mohiuddin Jahangir bridge;PC Girder Bridge;A;10;386,94;2003;8;Barisal;Barisal;Barisal;Barisal-1;N8;LRP148a;LRP148;888;147,561;22;48;36;90;16;48;0
658;Rahamatpur bridge;RCC Girder Bridge;A;7;32,3;1991;2;Barisal;Barisal;Barisal;Barisal-1;N8;LRP152c;LRP152;586;150,977;22;47;24;90;17;59;0
659;Sagardi bridge;RCC Girder Bridge;B;9,35;12,2;1995;1;Barisal;Barisal;Barisal;Barisal-2;N8;LRP166a;LRP165;1213;164,592;22;41;3;90;21;20;30
660;Boalia Bazar Bridge;Truss with Steel Deck;C;3,97;39,7;1997;1;Barisal;Barisal;Barisal;Barisal-2;N8;LRP178a;LRP177;1083;176,88;22;34;31;90;20;14;61
661;Bakerganj Steel Bridge;Truss with Steel Deck;C;3,97;33,6;1992;1;Barisal;Patuakhali;Patuakhali;Patuakhali;N8;LRP182a;LRP181;1017;180,819;22;32;27;90;20;NULL;31
662;Moukorou Bridge;PC Girder Bridge;B;9,5;79,03;2004;3;Barisal;Patuakhali;Patuakhali;Patuakhali;N8;LRP193a;LRP193;565;192,201;22;26;22;90;20;18;1
663;Moddho Badorpur Bridge;RCC Girder Bridge;A;8;12,95;1998;1;Barisal;Patuakhali;Patuakhali;Patuakhali;N8;LRP196a;LRP195;1062;194,671;22;25;12;90;19;46;0
664;Gabua Bridge;RCC Girder Bridge;B;7,95;12,85;1997;1;Barisal;Patuakhali;Patuakhali;Patuakhali;N8;LRP196c;LRP195;1972;195,581;22;24;43;90;19;39;30
665;Telikhalir Bridge;RCC Girder Bridge;C;7,65;79,22;2012;3;Barisal;Patuakhali;Patuakhali;Patuakhali;N8;LRP198c;LRP197;1798;197,413;22;23;49;90;19;13;30
666;Sheyalir Bridge;RCC Girder Bridge;A;7,95;13;1996;1;Barisal;Patuakhali;Patuakhali;Patuakhali;N8;LRP200a;LRP199;1385;198,955;22;23;NULL;90;19;13;0
667;Sheyali Bailey;Baily with Steel Deck;A;4,11;21,53;1996;1;Barisal;Patuakhali;Patuakhali;Patuakhali;N8;LRP200c;LRP199;1652;199,222;22;22;52;90;19;14;0
668;Alipur Bridge;RCC Girder Bridge;A;13,4;106,1;1991;3;Gopalganj;Faridpur;Faridpur;Faridpur-1;N803;LRPsb;LRPS;375;0,375;23;36;10;89;49;44;0
669;Purani Bridge;RCC Girder Bridge;B;12,1;62,2;2007;3;Gopalganj;Faridpur;Faridpur;Faridpur-2;N804;LRP004a;LRP004;779;4,742;23;25;33;89;57;36;30
670;Pukuria Bridge;PC Girder Bridge;A;13,25;93;2007;3;Gopalganj;Faridpur;Faridpur;Faridpur-2;N804;LRP005b;LRP005;860;5,819;23;26;5;89;57;22;0
671;Basagari Bridge;PC Girder Bridge;B;12;62,37;2007;3;Gopalganj;Faridpur;Faridpur;Faridpur-2;N804;LRP012b;LRP012;241;12,16;23;28;23;89;54;43;1
672;Shankarpasha;PC Girder Bridge;A;12,2;25,65;2007;1;Gopalganj;Faridpur;Faridpur;Faridpur-2;N804;LRP014a;LRP014;931;14,771;23;29;31;89;53;51;0
673;Maniknagar Bridge;RCC Girder Bridge;A;12,17;62,4;2007;3;Gopalganj;Faridpur;Faridpur;Faridpur-2;N804;LRP017a;LRP017;736;17,672;23;30;38;89;52;44;0
674;Bakhunda Bridge;RCC Girder Bridge;C;8,87;139,87;1992;5;Gopalganj;Faridpur;Faridpur;Faridpur-2;N804;LRP022a;LRP022;833;22,752;23;32;46;89;51;23;33
675;Angina Bridge;RCC Girder Bridge;C;7,22;50,45;1991;3;Gopalganj;Faridpur;Faridpur;Faridpur-1;N804;LRP030b;LRP029;1708;30,405;23;35;49;89;49;18;30
676;Mansurabad Bridge;PC Girder Bridge;A;9,95;119,06;2004;3;Gopalganj;Gopalganj;Gopalganj;Bhatipara;N805;LRP004a;LRPS;4129;4,129;23;24;7;89;56;45;0
677;Ziakoli Bridge;PC Girder Bridge;A;9,95;79,88;2004;4;Gopalganj;Gopalganj;Gopalganj;Bhatipara;N805;LRP005c;LRP005;596;5,596;23;24;2;89;55;55;0
678;Shohadi Bridge;PC Girder Bridge;A;9,95;59,87;2004;3;Gopalganj;Gopalganj;Gopalganj;Bhatipara;N805;LRP006b;LRP005;1631;6,631;23;23;38;89;55;30;0
679;Jatakdia;PC Girder Bridge;A;10;59,8;2004;3;Gopalganj;Gopalganj;Gopalganj;Bhatipara;N805;LRP008a;LRP005;3279;8,279;23;23;NULL;89;54;49;0
680;Damdoma Bridge;PC Girder Bridge;A;10;39,5;2004;1;Gopalganj;Gopalganj;Gopalganj;Bhatipara;N805;LRP011d;LRP010;1874;11,874;23;21;31;89;53;30;0
681;Sonada Bridge;PC Girder Bridge;A;10;30;2004;1;Gopalganj;Gopalganj;Gopalganj;Bhatipara;N805;LRP012a;LRP010;2150;12,15;23;21;23;89;53;24;0
682;Gazaria Bridge;PC Girder Bridge;A;10;39,5;2004;1;Gopalganj;Gopalganj;Gopalganj;Bhatipara;N805;LRP013a;LRP010;3174;13,174;23;20;52;89;53;13;0
683;Mollah bari Bridge;PC Girder Bridge;A;10;59,85;2004;3;Gopalganj;Gopalganj;Gopalganj;Bhatipara;N805;LRP014a;LRP010;4307;14,307;23;20;22;89;52;55;0
684;Chondi Podi Bridge;PC Girder Bridge;A;10;119,06;2004;3;Gopalganj;Gopalganj;Gopalganj;Bhatipara;N805;LRP016a;LRP015;1505;16,505;23;19;28;89;52;5;0
685;Kadampur Bhanga Bridge;PC Girder Bridge;A;10;34,5;2004;1;Gopalganj;Gopalganj;Gopalganj;Bhatipara;N805;LRP019b;LRP017;2648;19,701;23;18;24;89;50;53;0
686;Garakola Bridge;PC Girder Bridge;C;10;105,05;2004;3;Gopalganj;Gopalganj;Gopalganj;Bhatipara;N805;LRP024a;LRP020;4137;24,19;23;17;16;89;48;39;30
687;Doshori Bridge;PC Girder Bridge;A;10;24,9;2004;1;Gopalganj;Gopalganj;Gopalganj;Gopalganj;N805;LRP039a;LRP035;4707;39,76;23;12;6;89;43;36;0
688;Bolbaria Bridge;PC Girder Bridge;A;10;25;2004;1;Gopalganj;Gopalganj;Gopalganj;Gopalganj;N805;LRP048b;LRP045;3212;48,265;23;9;26;89;46;23;0
689;Goala;PC Girder Bridge;A;10;25;2004;1;Gopalganj;Gopalganj;Gopalganj;Gopalganj;N805;LRP055c;LRP055;775;55,828;23;5;35;89;45;55;0
690;Haridaspur Bridge;PC Girder Bridge;A;9,5;172,7;2001;4;Gopalganj;Gopalganj;Gopalganj;Gopalganj;N805;LRP065a;LRP065;491;65,491;23;1;54;89;48;59;0
691;Nichupara Bridge;PC Girder Bridge;A;10;20;2004;1;Gopalganj;Gopalganj;Gopalganj;Gopalganj;N805;LRP071a;LRP071;580;71,38;22;59;56,6;89;50;12,8;0
692;Mandartola Bridge;PC Girder Bridge;A;10;35;2004;1;Gopalganj;Gopalganj;Gopalganj;Gopalganj;N805;LRP072a;LRP070;2455;72,455;22;59;22,7;89;49;46,3;0
693;Mollahat Bridge;PC Girder Bridge;A;9,9;303;1998;7;Gopalganj;Gopalganj;Gopalganj;Gopalganj;N805;LRP079a;LRP075;4403;79,403;22;55;59,5;89;48;32,5;0
694;;PC Girder Bridge;C;10,3;130,1;2009;3;Barisal;Barisal;Bhola;Bhola;N809;LRP028a;LRP025;3999;28,999;22;44;19,1;90;35;20,6;30
695;Mrida Bari Bridge;Steel Beam & RCC Slab;B;8,25;11,6;1973;1;Dhaka;Dhaka;Dhaka;Dhaka, Sub-division - 2;R110;LRP001b;LRPS;1980;1,98;23;42;47;90;27;11;30
